,RunId,iteration,Step,height,width,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters,Quiescent,Active,Jailed,Cops
0,0,0,100,40,40,0.7,0.074,3,1,0.7,1000,0.1,2.3,True,1000,915,7,205,121
1,2,0,100,40,40,0.7,0.074,3,3,0.7,1000,0.1,2.3,True,1000,843,0,272,124
2,1,0,100,40,40,0.7,0.074,3,2,0.7,1000,0.1,2.3,True,1000,858,1,269,111
3,9,1,100,40,40,0.7,0.074,3,1,0.7,1000,0.1,2.3,True,1000,984,2,196,128
4,3,0,100,40,40,0.7,0.074,3,4,0.7,1000,0.1,2.3,True,1000,845,2,320,106
5,4,0,100,40,40,0.7,0.074,3,5,0.7,1000,0.1,2.3,True,1000,846,0,304,114
6,5,0,100,40,40,0.7,0.074,3,6,0.7,1000,0.1,2.3,True,1000,857,0,315,125
7,6,0,100,40,40,0.7,0.074,3,7,0.7,1000,0.1,2.3,True,1000,851,0,320,111
8,7,0,100,40,40,0.7,0.074,3,8,0.7,1000,0.1,2.3,True,1000,831,0,290,124
9,8,0,100,40,40,0.7,0.074,3,9,0.7,1000,0.1,2.3,True,1000,846,0,317,119
10,10,1,100,40,40,0.7,0.074,3,2,0.7,1000,0.1,2.3,True,1000,883,0,269,126
11,11,1,100,40,40,0.7,0.074,3,3,0.7,1000,0.1,2.3,True,1000,852,0,311,103
12,12,1,100,40,40,0.7,0.074,3,4,0.7,1000,0.1,2.3,True,1000,822,0,280,133
13,13,1,100,40,40,0.7,0.074,3,5,0.7,1000,0.1,2.3,True,1000,846,0,302,106
14,14,1,100,40,40,0.7,0.074,3,6,0.7,1000,0.1,2.3,True,1000,826,0,304,112
15,18,2,100,40,40,0.7,0.074,3,1,0.7,1000,0.1,2.3,True,1000,927,2,197,122
16,15,1,100,40,40,0.7,0.074,3,7,0.7,1000,0.1,2.3,True,1000,843,0,321,109
17,19,2,100,40,40,0.7,0.074,3,2,0.7,1000,0.1,2.3,True,1000,859,4,271,106
18,16,1,100,40,40,0.7,0.074,3,8,0.7,1000,0.1,2.3,True,1000,849,0,308,110
19,17,1,100,40,40,0.7,0.074,3,9,0.7,1000,0.1,2.3,True,1000,845,0,298,125
20,20,2,100,40,40,0.7,0.074,3,3,0.7,1000,0.1,2.3,True,1000,880,1,289,120
21,21,2,100,40,40,0.7,0.074,3,4,0.7,1000,0.1,2.3,True,1000,844,0,307,112
22,22,2,100,40,40,0.7,0.074,3,5,0.7,1000,0.1,2.3,True,1000,840,0,317,123
23,23,2,100,40,40,0.7,0.074,3,6,0.7,1000,0.1,2.3,True,1000,833,0,320,109
24,24,2,100,40,40,0.7,0.074,3,7,0.7,1000,0.1,2.3,True,1000,843,0,327,106
25,28,3,100,40,40,0.7,0.074,3,2,0.7,1000,0.1,2.3,True,1000,883,0,271,118
26,27,3,100,40,40,0.7,0.074,3,1,0.7,1000,0.1,2.3,True,1000,925,12,247,89
27,25,2,100,40,40,0.7,0.074,3,8,0.7,1000,0.1,2.3,True,1000,854,0,308,122
28,26,2,100,40,40,0.7,0.074,3,9,0.7,1000,0.1,2.3,True,1000,829,0,319,103
29,29,3,100,40,40,0.7,0.074,3,3,0.7,1000,0.1,2.3,True,1000,867,2,291,115
